habitat_code,habitat_name
Zone1_A,"Predominantly low salinity, infralittoral to offshore circalittoral, mixed sediment, submerged rooted plants"
Zone1_B,"Predominantly low salinity, infralittoral, mixed sediment, submerged rooted plants"
Zone1_C,"Predominantly low salinity, infralittoral, soft sediment, submerged rooted plants (coastal Finland)"
Zone1_D,"Predominantly low salinity, infralittoral, soft sediment, submerged rooted plants (North Baltic)"
Zone1_E,"Predominantly low salinity, infralittoral, soft sediment, submerged rooted plants (Bothnian Bay)"
Zone2_A,"Predominantly low-intermediate salinity, infralittoral, soft sediment, submerged rooted plants"
Zone2_B,"Predominantly low-intermediate salinity, infralittoral, soft sediment, submerged rooted plants (coastal Finland/Bothnian Bay)"
Zone2_C,"Predominantly low-intermediate salinity, infralittoral, mixed sediment, submerged rooted plants (North/East Baltic)"
Zone2_D,"Predominantly low-intermediate salinity, circalittoral to offshore circalittoral, mixed sediment, infaunal crustacea"
Zone2_E,"Predominantly low-intermediate salinity, infralittoral to offshore circalittoral, mixed sediment, perennial algae"
Zone3_A,"Predominantly intermediate salinity, infralittoral, mixed sediment, submerged rooted plants"
Zone3_B,"Predominantly intermediate salinity, infralittoral to offshore circalittoral, mixed sediment, perennial algae"
Zone3_C,"Predominantly intermediate salinity, infralittoral to circalittoral, mixed sediment, perennial algae"
Zone3_D,"Predominantly intermediate salinity, infralittoral to offshore circalittoral, mixed sediment, infaunal polychaetes (pan-Baltic)"
Zone3_E,"Predominantly intermediate salinity, circalittoral to offshore circalittoral, mixed sediment, infaunal crustacea"
Zone3_F,"Predominantly intermediate salinity, infralittoral to offshore circalittoral, mixed sediment, infaunal polychaetes (Southwestern Baltic)"
Zone4_A,"Predominantly high salinity, infralittoral, mixed sediment, annual algae"
Zone4_B,"Predominantly high salinity, offshore circalittoral, sand sediment, perennial algae"
Zone4_C,"Predominantly high salinity, infralittoral, mixed sediment, infaunal polychaetes"
Zone4_D,"Predominantly high salinity, infralittoral to circalittoral, mixed sediment, infaunal polychaetes"
Zone4_E,"Predominantly high salinity, circalittoral, sand sediment, infaunal polychaetes"
Zone4_F,"Predominantly high salinity, infralittoral to offshore circalittoral, mixed sediment, infaunal polychaetes"
Zone4_G,"Predominantly high salinity, infralittoral to circalittoral, sand sediment, infaunal polychaetes"
Zone4_H,"Predominantly high salinity, infralittoral to offshore circalittoral, mixed sediment, perennial algae"
Zone4_I,"Predominantly high salinity, infralittoral to circalittoral, sand sediment, perennial algae"
Zone4_J,"Predominantly high salinity, circalittoral to offshore circalittoral, soft sediment, infaunal polychaetes"
Zone4_K,"Predominantly high salinity, circalittoral to offshore circalittoral, mixed sediment, infaunal polychaetes"
