"habitat_name","species"
"Zone1_E","Zygnema"
"Zone1_E","Crassula.aquatica"
"Zone1_E","Persicaria.foliosa"
"Zone1_E","Elodea.canadensis"
"Zone1_E","Elodea.nuttallii"
"Zone1_E","Equisetum.fluviatile"
"Zone1_E","Potamogeton.friesii"
"Zone1_E","Sagittaria.natans"
"Zone1_E","Chara.braunii"
"Zone1_E","Nitella.wahlbergiana"
"Zone1_D","Potamogeton.gramineus"
"Zone1_D","Callitriche.hermaphroditica"
"Zone1_D","Myriophyllum.alterniflorum"
"Zone1_D","Eleocharis.uniglumis"
"Zone1_D","Limosella.aquatica"
"Zone1_D","Potamogeton.pusillus"
"Zone1_D","Eleocharis.acicularis"
"Zone1_D","Subularia.aquatica"
"Zone1_D","Callitriche.palustris"
"Zone1_D","Potamogeton.berchtoldii"
"Zone1_D","Ranunculus.reptans"
"Zone1_D","Caltha.palustris"
"Zone1_D","Elatine.hydropiper"
"Zone1_D","Fontinalis.hypnoides"
"Zone1_D","Eleocharis.mamillata"
"Zone1_D","Cicuta.virosa"
"Zone1_D","Alisma.wahlenbergii"
"Zone1_D","Eleocharis.parvula"
"Zone1_D","Lemna.trisulca"
"Zone1_D","Myriophyllum.sibiricum"
"Zone1_D","Hippuris.vulgaris"
"Zone1_D","Schoenoplectus.tabernaemontani"
"Zone1_D","Eleocharis.palustris"
"Zone1_D","Ranunculus.peltatus.peltatus"
"Zone1_D","Chara.virgata"
"Zone1_D","Triglochin.maritima"
"Zone1_D","Potamogeton.obtusifolius"
"Zone1_D","Utricularia.vulgaris"
"Zone1_C","Sagittaria.sagittifolia"
"Zone1_C","Sparganium.emersum"
"Zone1_C","Schoenoplectus.lacustris"
"Zone1_C","Potamogeton.natans"
"Zone1_C","Nuphar.lutea"
"Zone1_C","Nymphaea.alba"
"Zone1_C","Myriophyllum.verticillatum"
"Zone1_C","Typha.latifolia"
"Zone1_C","Butomus.umbellatus"
"Zone1_C","Potamogeton.crispus"
"Zone1_C","Najas.marina"
"Zone1_C","Typha.angustifolia"
"Zone1_C","Ceratophyllum.demersum"
"Zone1_C","Phragmites.australis"
"Zone1_B","Chara.connivens"
"Zone1_B","Rhizoclonium.riparium"
"Zone1_B","Dreissena.polymorpha"
"Zone1_B","Myriophyllum.spicatum"
"Zone1_B","Ruppia.cirrhosa"
"Zone1_B","Chaetomorpha.linum"
"Zone1_B","Stuckenia.pectinata"
"Zone1_A","Potamogeton.perfoliatus"
"Zone1_A","Vaucheria"
"Zone1_A","Chara.aspera"
"Zone1_A","Zannichellia.palustris"
"Zone1_A","Fontinalis.antipyretica"
"Zone1_A","Aegagropila.linnaei"
"Zone1_A","Corophium.volutator"
"Zone1_A","Nitella.flexilis"
"Zone1_A","Cyanophthalma.obscura"
"Zone1_A","Gammarus.zaddachi"
"Zone1_A","Monoporeia.affinis"
"Zone1_A","Mysis.relicta"
"Zone1_A","Fontinalis.dalecarlica"
"Zone1_A","Fissidens.fontanus"
"Zone1_A","Ulothrix.zonata"
"Zone1_A","Potamogeton.praelongus"
"Zone1_A","Stuckenia.vaginata"
"Zone1_A","Nitellopsis.obtusa"
"Zone1_A","Batrachospermum"
"Zone1_A","Hippuris.tetraphylla"
"Zone2_E","Ecrobia.ventrosa"
"Zone2_E","Gammarus.oceanicus"
"Zone2_E","Theodoxus.fluviatilis"
"Zone2_E","Peringia.ulvae"
"Zone2_E","Amphibalanus.improvisus"
"Zone2_E","Mya.arenaria"
"Zone2_E","Cerastoderma.glaucum"
"Zone2_E","Hediste.diversicolor"
"Zone2_E","Battersia.arctica"
"Zone2_E","Corophium.volutator"
"Zone2_E","Gammarus.zaddachi"
"Zone2_E","Gammarus.salinus"
"Zone2_E","Jaera.albifrons"
"Zone2_E","Bathyporeia.pilosa"
"Zone2_E","Cyanophthalma.obscura"
"Zone2_E","Einhornia.crustulenta"
"Zone2_E","Cladophora.rupestris"
"Zone2_E","Neomysis.integer"
