"scientific_name","full_name","species_group","mobility","run_name","internal_score","external_mean_score","overall_min_score","overall_mean_score","presence_sum"
"Abramis.brama","Abramis brama","fish","mobile","run3_fish",3,2.5,2.5,2.75,266582
"Agonus.cataphractus","Agonus cataphractus","fish","mobile","run3_fish",3,3,3,3,609605
"Alburnus.alburnus","Alburnus alburnus","fish","mobile","run3_fish",3,2.5,2.5,2.75,319040
"Alosa.fallax","Alosa fallax","fish","mobile","run3_fish",2,2.5,2,2.25,658524
"Amblyraja.radiata","Amblyraja radiata","fish","mobile","run3_fish",3,1.5,1.5,2.25,206859
"Ammodytes.marinus","Ammodytes marinus","fish","mobile","run3_fish",2,2,2,2,791113
"Aphia.minuta","Aphia minuta","fish","mobile","run3_fish",3,3,3,3,358022
"Arnoglossus.laterna","Arnoglossus laterna","fish","mobile","run3_fish",3,3,3,3,418247
"Belone.belone","Belone belone","fish","mobile","run3_fish",3,3,3,3,1397418
"Blicca.bjoerkna","Blicca bjoerkna","fish","mobile","run3_fish",3,2.5,2.5,2.75,309627
"Buglossidium.luteum","Buglossidium luteum","fish","mobile","run3_fish",3,3,3,3,209445
"Callionymus.lyra","Callionymus lyra","fish","mobile","run3_fish",3,3,3,3,384444
"Callionymus.maculatus","Callionymus maculatus","fish","mobile","run3_fish",3,2,2,2.5,252326
"Carassius.carassius","Carassius carassius","fish","mobile","run3_fish",2,2.33333333333333,2,2.16666666666667,59763
"Chelidonichthys.lucerna","Chelidonichthys lucerna","fish","mobile","run3_fish",3,3,3,3,225871
"Ciliata.mustela","Ciliata mustela","fish","mobile","run3_fish",3,1.5,1.5,2.25,34311
"Clupea.harengus","Clupea harengus","fish","mobile","run3_fish",3,3,3,3,6219050
"Coregonus.albula","Coregonus albula","fish","mobile","run3_fish",3,2.5,2.5,2.75,347352
"Coregonus.maraena","Coregonus maraena","fish","mobile","run3_fish",2,1.5,1.5,1.75,574350
"Cottus.gobio","Cottus gobio","fish","mobile","run3_fish",2,2,2,2,27890
"Ctenolabrus.rupestris","Ctenolabrus rupestris","fish","mobile","run3_fish",3,3,3,3,110737
"Cyclopterus.lumpus","Cyclopterus lumpus","fish","mobile","run3_fish",3,1.5,1.5,2.25,2294767
"Enchelyopus.cimbrius","Enchelyopus cimbrius","fish","mobile","run3_fish",3,2,2,2.5,813474
"Engraulis.encrasicolus","Engraulis encrasicolus","fish","mobile","run3_fish",3,2,2,2.5,637143
"Entelurus.aequoreus","Entelurus aequoreus","fish","mobile","run3_fish",3,2,2,2.5,217688
"Esox.lucius","Esox lucius","fish","mobile","run3_fish",3,2.5,2.5,2.75,126873
"Gadus.morhua","Gadus morhua","fish","mobile","run3_fish",3,2.33333333333333,2.33333333333333,2.66666666666667,2896257
"Gasterosteus.aculeatus","Gasterosteus aculeatus","fish","mobile","run3_fish",3,2.5,2.5,2.75,4608973
"Glyptocephalus.cynoglossus","Glyptocephalus cynoglossus","fish","mobile","run3_fish",3,2.5,2.5,2.75,135391
"Gymnocephalus.cernua","Gymnocephalus cernua","fish","mobile","run3_fish",3,3,3,3,643786
"Hippoglossoides.platessoides","Hippoglossoides platessoides","fish","mobile","run3_fish",3,3,3,3,389979
"Hyperoplus.immaculatus","Hyperoplus immaculatus","fish","mobile","run3_fish",2,1.5,1.5,1.75,112124
"Hyperoplus.lanceolatus","Hyperoplus lanceolatus","fish","mobile","run3_fish",3,2,2,2.5,873054
"Labrus.bergylta","Labrus bergylta","fish","mobile","run3_fish",3,2,2,2.5,29332
"Lampetra.fluviatilis","Lampetra fluviatilis","fish","mobile","run3_fish",2,2.5,2,2.25,2009995
"Lepidorhombus.whiffiagonis","Lepidorhombus whiffiagonis","fish","mobile","run3_fish",2,2,2,2,166696
"Leuciscus.idus","Leuciscus idus","fish","mobile","run3_fish",3,3,3,3,101623
"Leuciscus.leuciscus","Leuciscus leuciscus","fish","mobile","run3_fish",3,2.5,2.5,2.75,43292
"Limanda.limanda","Limanda limanda","fish","mobile","run3_fish",3,2.66666666666667,2.66666666666667,2.83333333333333,885687
"Liparis.liparis","Liparis liparis","fish","mobile","run3_fish",2,2,2,2,824156
"Lophius.piscatorius","Lophius piscatorius","fish","mobile","run3_fish",2,1.33333333333333,1.33333333333333,1.66666666666667,168574
"Lota.lota","Lota lota","fish","mobile","run3_fish",2,2,2,2,80653
"Lumpenus.lampretaeformis","Lumpenus lampretaeformis","fish","mobile","run3_fish",3,2,2,2.5,327811
"Maurolicus.muelleri","Maurolicus muelleri","fish","mobile","run3_fish",3,1.5,1.5,2.25,70674
"Melanogrammus.aeglefinus","Melanogrammus aeglefinus","fish","mobile","run3_fish",3,2,2,2.5,301314
"Merlangius.merlangus","Merlangius merlangus","fish","mobile","run3_fish",3,2,2,2.5,895034
"Micromesistius.poutassou","Micromesistius poutassou","fish","mobile","run3_fish",2,1.5,1.5,1.75,601
"Microstomus.kitt","Microstomus kitt","fish","mobile","run3_fish",3,1.5,1.5,2.25,319293
"Mullus.surmuletus","Mullus surmuletus","fish","mobile","run3_fish",2,3,2,2.5,352266
"Myoxocephalus.quadricornis","Myoxocephalus quadricornis","fish","mobile","run3_fish",3,2.5,2.5,2.75,1593638
"Myoxocephalus.scorpius","Myoxocephalus scorpius","fish","mobile","run3_fish",3,2,2,2.5,581555
"Myxine.glutinosa","Myxine glutinosa","fish","mobile","run3_fish",3,3,3,3,82899
"Neogobius.melanostomus","Neogobius melanostomus","fish","mobile","run3_fish",3,2,2,2.5,452526
"Nerophis.ophidion","Nerophis ophidion","fish","mobile","run3_fish",2,1.5,1.5,1.75,3079014
"Osmerus.eperlanus","Osmerus eperlanus","fish","mobile","run3_fish",3,2.5,2.5,2.75,1476133
"Perca.fluviatilis","Perca fluviatilis","fish","mobile","run3_fish",3,3,3,3,828167
"Phoxinus.phoxinus","Phoxinus phoxinus","fish","mobile","run3_fish",3,2,2,2.5,8877
"Platichthys.flesus","Platichthys flesus","fish","mobile","run3_fish",3,2.66666666666667,2.66666666666667,2.83333333333333,3090962
"Pleuronectes.platessa","Pleuronectes platessa","fish","mobile","run3_fish",3,2.66666666666667,2.66666666666667,2.83333333333333,1557895
"Pollachius.pollachius","Pollachius pollachius","fish","mobile","run3_fish",3,3,3,3,51086
"Pollachius.virens","Pollachius virens","fish","mobile","run3_fish",3,3,3,3,89178
"Pomatoschistus.minutus","Pomatoschistus minutus","fish","mobile","run3_fish",3,2,2,2.5,1219893
"Pungitius.pungitius","Pungitius pungitius","fish","mobile","run3_fish",3,2.5,2.5,2.75,2965639
"Rutilus.rutilus","Rutilus rutilus","fish","mobile","run3_fish",3,3,3,3,552768
"Salmo.salar","Salmo salar","fish","mobile","run3_fish",2,2,2,2,3769504
"Salmo.trutta","Salmo trutta","fish","mobile","run3_fish",2,1.5,1.5,1.75,93574
"Sander.lucioperca","Sander lucioperca","fish","mobile","run3_fish",3,3,3,3,364596
"Sardina.pilchardus","Sardina pilchardus","fish","mobile","run3_fish",2,1.5,1.5,1.75,250098
