"cluster_1","cluster_2","n_species_1","n_species_2","n_shared","pct_of_cluster_1","pct_of_cluster_2","total_pct"
"Zone2_D","Zone3_E",9,7,5,55.6,71.4,45.5
"Zone2_E","Zone3_B",28,15,13,46.4,86.7,43.3
"Zone2_C","Zone3_A",22,39,17,77.3,43.6,38.6
"Zone2_E","Zone3_D",28,27,15,53.6,55.6,37.5
"Zone3_F","Zone4_F",38,17,14,36.8,82.4,34.1
"Zone1_C","Zone2_A",14,32,11,78.6,34.4,31.4
"Zone3_F","Zone4_E",38,26,14,36.8,53.8,28
"Zone3_C","Zone4_D",22,30,11,50,36.7,26.8
"Zone1_B","Zone2_C",7,22,6,85.7,27.3,26.1
"Zone3_C","Zone4_I",22,24,9,40.9,37.5,24.3
"Zone3_A","Zone4_C",39,21,10,25.6,47.6,20
"Zone2_C","Zone4_D",22,30,7,31.8,23.3,15.6
"Zone1_D","Zone2_A",28,32,8,28.6,25,15.4
"Zone1_B","Zone3_A",7,39,6,85.7,15.4,15
"Zone1_C","Zone2_B",14,11,3,21.4,27.3,13.6
"Zone1_A","Zone2_A",20,32,6,30,18.8,13
"Zone1_D","Zone2_B",28,11,4,14.3,36.4,11.4
"Zone3_A","Zone4_D",39,30,7,17.9,23.3,11.3
"Zone2_A","Zone3_A",32,39,7,21.9,17.9,10.9
"Zone3_D","Zone4_I",27,24,4,14.8,16.7,8.5
"Zone1_A","Zone2_C",20,22,3,15,13.6,7.7
"Zone3_D","Zone4_D",27,30,4,14.8,13.3,7.5
"Zone1_A","Zone2_D",20,9,2,10,22.2,7.4
"Zone3_B","Zone4_D",15,30,3,20,10,7.1
"Zone1_A","Zone2_E",20,28,3,15,10.7,6.7
"Zone1_D","Zone3_A",28,39,4,14.3,10.3,6.3
"Zone3_F","Zone4_H",38,32,4,10.5,12.5,6.1
"Zone2_A","Zone4_C",32,21,3,9.4,14.3,6
"Zone2_D","Zone3_D",9,27,2,22.2,7.4,5.9
"Zone1_B","Zone4_D",7,30,2,28.6,6.7,5.7
"Zone2_C","Zone3_B",22,15,2,9.1,13.3,5.7
"Zone1_E","Zone2_A",10,32,2,20,6.2,5
