"species","colour","cluster","cluster_int"
"Edwardsia.longicornis","#D17B44","K",11
"Magelona.alleni","#D17B44","K",11
"Mysia.undata","#D17B44","K",11
"Pholoe.baltica","#D17B44","K",11
"Chaetozone.setosa","#D17B44","K",11
"Goniada.maculata","#D17B44","K",11
"Phoronis.muelleri","#D17B44","K",11
"Galathowenia.oculata","#D17B44","K",11
"Prionospio.fallax","#D17B44","K",11
"Phyllodoce.rosea","#D17B44","K",11
"Amphiura.filiformis","#D17B44","K",11
"Eumida.bahusiensis","#D17B44","K",11
"Glycera.alba","#D17B44","K",11
"Nucula.nitidosa","#D17B44","K",11
"Thyasira.flexuosa","#D17B44","K",11
"Eudorella.truncatula","#D17B44","K",11
"Levinsenia.gracilis","#D17B44","K",11
"Phaxas.pellucidus","#D17B44","K",11
"Kurtiella.bidentata","#D17B44","K",11
"Scalibregma.inflatum","#D17B44","K",11
"Terebellides.stroemii","#D17B44","K",11
"Abyssoninoe.hibernica","#D17B44","K",11
"Oxydromus.flexuosus","#D17B44","K",11
"Glycera.unicornis","#D17B44","K",11
"Abra.nitida","#D17B44","K",11
"Ennucula.tenuis","#D17B44","K",11
"Ampelisca.macrocephala","#D17B44","K",11
"Chalinula.limbata","#D17B44","K",11
"Paradoneis.eliasoni","#D17B44","K",11
"Praxillella.praetermissa","#D17B44","K",11
"Rhodine.gracilior","#D17B44","K",11
"Chaetoderma.nitidulum","#D17B44","K",11
"Maldane.sarsi","#D17B44","K",11
"Owenia.fusiformis","#D17B44","K",11
"Notomastus.latericeus","#D17B44","K",11
"Cylichna.cylindracea","#D17B44","K",11
"Turritella.communis","#D17B44","K",11
"Dosinia.exoleta","#D17B44","K",11
"Polycirrus.norvegicus","#D17B44","K",11
"Ampelisca.diadema","#D17B44","K",11
"Diastylis.laevis","#D17B44","K",11
"Trichobranchus.roseus","#00ABB2","J",10
"Westwoodilla.caecula","#00ABB2","J",10
"Glycinde.nordmanni","#00ABB2","J",10
"Golfingia.vulgaris","#00ABB2","J",10
"Prionospio.multibranchiat","#00ABB2","J",10
"Rhodine.loveni","#00ABB2","J",10
"Magelona.minuta","#00ABB2","J",10
"Anobothrus.gracilis","#00ABB2","J",10
"Pectinaria.belgica","#00ABB2","J",10
"Acanthocardia.echinata","#00ABB2","J",10
"Harpinia.antennaria","#00ABB2","J",10
"Labidoplax.buskii","#00ABB2","J",10
"Polyphysia.crassa","#00ABB2","J",10
"Sphaerodorum.gracilis","#00ABB2","J",10
"Brada.villosa","#00ABB2","J",10
"Virgularia.mirabilis","#00ABB2","J",10
"Priapulus.caudatus","#00ABB2","J",10
"Protomedeia.fasciata","#00ABB2","J",10
"Artacama.proboscidea","#00ABB2","J",10
"Apistobranchus.tullbergi","#00ABB2","J",10
"Crenella.decussata","#00ABB2","J",10
"Sphaerotrichia.divaricata","#C071DC","I",9
"Ahnfeltia.plicata","#C071DC","I",9
"Chondrus.crispus","#C071DC","I",9
"Bryopsis.plumosa","#C071DC","I",9
"Furcellaria.lumbricalis","#C071DC","I",9
"Saccharina.latissima","#C071DC","I",9
"Eteone.longa","#C071DC","I",9
"Membranoptera.alata","#C071DC","I",9
"Ceramium.virgatum","#C071DC","I",9
"Rhodomela.confervoides","#C071DC","I",9
"Bryopsis.hypnoides","#C071DC","I",9
"Chaetomorpha.melagonium","#C071DC","I",9
"Callithamnion.corymbosum","#C071DC","I",9
"Cystoclonium.purpureum","#C071DC","I",9
"Polysiphonia.stricta","#C071DC","I",9
"Coccotylus.Phyllophora","#C071DC","I",9
"Delesseria.sanguinea","#C071DC","I",9
"Polyides.rotunda","#C071DC","I",9
"Phycodrys.rubens","#C071DC","I",9
"Sphacelaria.cirrosa","#C071DC","I",9
"Leathesia.marina","#C071DC","I",9
"Bonnemaisonia.hamifera","#C071DC","I",9
"Desmarestia.viridis","#C071DC","I",9
"Vertebrata.byssoides","#C071DC","I",9
"Erythrotrichia.carnea","#00A0D6","H",8
"Aglaothamnion.tenuissimum","#00A0D6","H",8
"Rhodochorton.purpureum","#00A0D6","H",8
"Sphaceloderma.caespitulum","#00A0D6","H",8
"Nephtys.caeca","#00A0D6","H",8
"Scoloplos.armiger","#00A0D6","H",8
"Odonthalia.dentata","#00A0D6","H",8
"Laminaria.digitata","#00A0D6","H",8
"Desmarestia.aculeata","#00A0D6","H",8
"Palmaria.palmata","#00A0D6","H",8
"Tubulanus.polymorphus","#00A0D6","H",8
"Echinocyamus.pusillus","#00A0D6","H",8
"Eucratea.loricata","#00A0D6","H",8
"Perioculodes.longimanus","#00A0D6","H",8
"Echinocardium.cordatum","#00A0D6","H",8
"Tellimya.ferruginosa","#00A0D6","H",8
"Poecilochaetus.serpens","#00A0D6","H",8
"Thracia.phaseolina","#00A0D6","H",8
"Pterothamnion.plumula","#00A0D6","H",8
"Ampelisca.brevicornis","#00A0D6","H",8
"Chamelea.gallina","#00A0D6","H",8
"Erythrodermis.traillii","#00A0D6","H",8
"Rubrointrusa.membranacea","#00A0D6","H",8
"Colaconema.daviesii","#00A0D6","H",8
"Peyssonnelia.dubyi","#00A0D6","H",8
"Gammarus.tigrinus","#00A0D6","H",8
"Gattyana.cirrhosa","#00A0D6","H",8
"Derbesia.marina","#00A0D6","H",8
"Filellum.serpens","#00A0D6","H",8
"Cruoria.pellita","#00A0D6","H",8
"Lithothamnion.glaciale","#00A0D6","H",8
"Scagelothamnion.pusillum","#00A0D6","H",8
"Branchiostoma.lanceolatum","#DE63B9","G",7
"Pisione.remota","#DE63B9","G",7
"Melobesia.membranacea","#DE63B9","G",7
"Tanaissus.lilljeborgi","#DE63B9","G",7
"Spermothamnion.repens","#DE63B9","G",7
"Spio.filicornis","#DE63B9","G",7
"Corallina.officinalis","#DE63B9","G",7
"Plumaria.plumosa","#DE63B9","G",7
"Bathyporeia.guilliamsonia","#DE63B9","G",7
"Nephtys.longosetosa","#DE63B9","G",7
"Ophelia.borealis","#DE63B9","G",7
"Fabulina.fabula","#DE63B9","G",7
"Spiophanes.bombyx","#DE63B9","G",7
"Mediomastus.fragilis","#DE63B9","G",7
"Lomentaria.clavellosa","#DE63B9","G",7
"Dilsea.carnosa","#DE63B9","G",7
"Dasysiphonia.japonica","#DE63B9","G",7
"Laminaria.hyperborea","#DE63B9","G",7
"Asperococcus.bullosus","#DE63B9","G",7
"Aporrhais.pespelecani","#DE63B9","G",7
"Nephtys.assimilis","#DE63B9","G",7
"Lanice.conchilega","#DE63B9","G",7
"Phyllodoce.groenlandica","#DE63B9","G",7
"Eumida.sanguinea","#DE63B9","G",7
"Macoma.calcarea","#DE63B9","G",7
"Parexogone.hebes","#DE63B9","G",7
"Pholoe.inornata","#DE63B9","G",7
"Spisula.subtruncata","#DE63B9","G",7
"Heteromastus.filiformis","#829C00","F",6
"Cerastoderma.edule","#829C00","F",6
"Asterias.rubens","#829C00","F",6
"Harmothoe.imbricata","#829C00","F",6
"Polycirrus.medusa","#829C00","F",6
"Trochochaeta.multisetosa","#829C00","F",6
"Ampharete.baltica","#829C00","F",6
"Arctica.islandica","#829C00","F",6
"Abra.alba","#829C00","F",6
"Nephtys.ciliata","#829C00","F",6
"Ophiura.albida","#829C00","F",6
"Corbula.gibba","#829C00","F",6
"Parvicardium.pinnulatum","#829C00","F",6
"Aricidea.suecica","#829C00","F",6
"Nereimyra.punctata","#829C00","F",6
"Gastrosaccus.spinifer","#829C00","F",6
"Phyllodoce.mucosa","#829C00","F",6
"Lineus.ruber","#00AD7F","E",5
"Spio.goniocephala","#00AD7F","E",5
"Electra.pilosa","#00AD7F","E",5
"Aricidea.minuta","#00AD7F","E",5
"Dipolydora.quadrilobata","#00AD7F","E",5
"Callopora.lineata","#00AD7F","E",5
"Escharella.immersa","#00AD7F","E",5
"Phoxocephalus.holbolli","#00AD7F","E",5
"Crassicorophium.crassicor","#00AD7F","E",5
"Psammechinus.miliaris","#00AD7F","E",5
"Malacobdella.grossa","#00AD7F","E",5
"Astarte.borealis","#00AD7F","E",5
"Astarte.elliptica","#00AD7F","E",5
"Pholoe.assimilis","#00AD7F","E",5
"Laonome.kroyeri","#00AD7F","E",5
"Astarte.montagui","#00AD7F","E",5
"Dendrodoa.grossularia","#00AD7F","E",5
"Halcampa.duodecimcirrata","#00AD7F","E",5
"Mya.truncata","#00AD7F","E",5
"Pariambus.typicus","#00AD7F","E",5
"Sertularia.cupressina","#00AD7F","E",5
"Lysilla.loveni","#00AD7F","E",5
"Hiatella.arctica","#00AD7F","E",5
"Nephtys.pente","#00AD7F","E",5
"Musculus.niger","#00AD7F","E",5
"Pherusa.plumosa","#00AD7F","E",5
"Elachista.fucicola","#B28D00","D",4
"Fucus.serratus","#B28D00","D",4
"Vertebrata.fucoides","#B28D00","D",4
"Dumontia.contorta","#B28D00","D",4
"Chaetomorpha.linum","#B28D00","D",4
"Cladophora.sericea","#B28D00","D",4
"Dasya.baillouviana","#B28D00","D",4
"Ulva.lactuca","#B28D00","D",4
"Ectocarpus.Pylaiella","#B28D00","D",4
"Chorda.filum","#B28D00","D",4
"Dictyosiphon.foeniculaceus","#B28D00","D",4
"Capitella.capitata","#B28D00","D",4
"Tubificoides.benedii","#B28D00","D",4
"Polydora.cornuta","#B28D00","D",4
"Polysiphonia.elongata","#B28D00","D",4
"Arenicola.marina","#B28D00","D",4
"Nemalion.multifidum","#B28D00","D",4
"Bittium.reticulatum","#B28D00","D",4
"Fucus.vesiculosus.radicans","#B28D00","D",4
"Ruppia.maritima","#B28D00","D",4
"Ruppia.cirrhosa","#B28D00","D",4
"Alitta.succinea","#B28D00","D",4
"Mesogloia.vermiculata","#B28D00","D",4
"Scytosiphon.lomentaria","#B28D00","D",4
"Zostera.marina","#B28D00","D",4
"Tubificoides.pseudogaster","#B28D00","D",4
"Ophelia.rathkei","#B28D00","D",4
"Fabricia.stellaris","#B28D00","D",4
"Platynereis.dumerilii","#B28D00","D",4
"Scrobicularia.plana","#B28D00","D",4
"Ulva.prolifera","#7B8AE6","C",3
"Eleocharis.uniglumis","#7B8AE6","C",3
"Triglochin.maritima","#7B8AE6","C",3
"Ulva.linza","#7B8AE6","C",3
"Schoenoplectus.lacustris","#7B8AE6","C",3
"Ascophyllum.nodosum","#7B8AE6","C",3
"Lemna.minor","#7B8AE6","C",3
"Laonice.bahusiensis","#7B8AE6","C",3
"Paramphinome.jeffreysii","#7B8AE6","C",3
"Molgula.manhattensis","#7B8AE6","C",3
"Clytia.hemisphaerica","#7B8AE6","C",3
"Metridium.senile","#7B8AE6","C",3
"Polycirrus.plumosus","#7B8AE6","C",3
"Hermania.scabra","#7B8AE6","C",3
"Upogebia.deltaura","#7B8AE6","C",3
"Microphthalmus.sczelkowii","#7B8AE6","C",3
"Philine.quadripartita","#7B8AE6","C",3
"Musculus.discors","#7B8AE6","C",3
"Pusillina.inconspicua","#7B8AE6","C",3
"Bathyporeia.pelagica","#7B8AE6","C",3
"Gammarellus.homari","#7B8AE6","C",3
"Phyllophora.crispa","#20A73C","B",2
"Bonnemaisonia.asparagoides","#20A73C","B",2
"Ptilota.gunneri","#20A73C","B",2
"Rhodophyllis.divaricata","#20A73C","B",2
"Apoglossum.ruscifolium","#20A73C","B",2
"Heterosiphonia.plumosa","#20A73C","B",2
"Spirorbis.corallinae","#E16A86","A",1
"Halisarca.dujardinii","#E16A86","A",1
"Monocorophium.insidiosum","#E16A86","A",1
"Dictyosiphon.chordaria","#E16A86","A",1
"Spongonema.tomentosum","#E16A86","A",1
"Apherusa.bispinosa","#E16A86","A",1
"Halosiphon.tomentosus","#E16A86","A",1
"Spongomorpha.aeruginosa","#E16A86","A",1
"Callithamnion.tetragonum","#E16A86","A",1
"Sargassum.muticum","#E16A86","A",1
"Halidrys.siliquosa","#E16A86","A",1
"Spermatochnus.paradoxus","#E16A86","A",1
"Chordaria.flagelliformis","#E16A86","A",1
"Cladophora.rupestris","#E16A86","A",1
"Modiolus.modiolus","#E16A86","A",1
"Paraonis.fulgens","#E16A86","A",1
