"species","colour","cluster","cluster_int","cluster_name"
"Zygnema","#AA9000","E",5,"Zone1_E"
"Crassula.aquatica","#AA9000","E",5,"Zone1_E"
"Persicaria.foliosa","#AA9000","E",5,"Zone1_E"
"Elodea.canadensis","#AA9000","E",5,"Zone1_E"
"Elodea.nuttallii","#AA9000","E",5,"Zone1_E"
"Equisetum.fluviatile","#AA9000","E",5,"Zone1_E"
"Potamogeton.friesii","#AA9000","E",5,"Zone1_E"
"Sagittaria.natans","#AA9000","E",5,"Zone1_E"
"Chara.braunii","#AA9000","E",5,"Zone1_E"
"Nitella.wahlbergiana","#AA9000","E",5,"Zone1_E"
"Potamogeton.gramineus","#00AA5A","D",4,"Zone1_D"
"Callitriche.hermaphroditica","#00AA5A","D",4,"Zone1_D"
"Myriophyllum.alterniflorum","#00AA5A","D",4,"Zone1_D"
"Eleocharis.uniglumis","#00AA5A","D",4,"Zone1_D"
"Limosella.aquatica","#00AA5A","D",4,"Zone1_D"
"Potamogeton.pusillus","#00AA5A","D",4,"Zone1_D"
"Eleocharis.acicularis","#00AA5A","D",4,"Zone1_D"
"Subularia.aquatica","#00AA5A","D",4,"Zone1_D"
"Callitriche.palustris","#00AA5A","D",4,"Zone1_D"
"Potamogeton.berchtoldii","#00AA5A","D",4,"Zone1_D"
"Ranunculus.reptans","#00AA5A","D",4,"Zone1_D"
"Caltha.palustris","#00AA5A","D",4,"Zone1_D"
"Elatine.hydropiper","#00AA5A","D",4,"Zone1_D"
"Fontinalis.hypnoides","#00AA5A","D",4,"Zone1_D"
"Eleocharis.mamillata","#00AA5A","D",4,"Zone1_D"
"Cicuta.virosa","#00AA5A","D",4,"Zone1_D"
"Alisma.wahlenbergii","#00AA5A","D",4,"Zone1_D"
"Eleocharis.parvula","#00AA5A","D",4,"Zone1_D"
"Lemna.trisulca","#00AA5A","D",4,"Zone1_D"
"Myriophyllum.sibiricum","#00AA5A","D",4,"Zone1_D"
"Hippuris.vulgaris","#00AA5A","D",4,"Zone1_D"
