"scientific_name","zone_sum","presence_sum","zone_prop"
"Aglaothamnion.tenuissimum",249063,432567,0.57578
"Ahnfeltia.plicata",238251,282617,0.84302
"Apoglossum.ruscifolium",19753,19753,1
"Ascophyllum.nodosum",9122,9185,0.99314
"Asperococcus.bullosus",29231,29231,1
"Bolboschoenus.maritimus",3210,53194,0.06035
"Bonnemaisonia.asparagoides",44632,44632,1
"Bonnemaisonia.hamifera",311336,337080,0.92363
"Bryopsis.hypnoides",297854,341762,0.87152
"Bryopsis.plumosa",209966,223934,0.93762
"Callithamnion.corymbosum",356291,462146,0.77095
"Callithamnion.tetragonum",21263,21291,0.99868
"Caltha.palustris",525,16326,0.03216
"Ceramium.diaphanum",37035,507214,0.07302
"Ceramium.tenuicorne",64440,784063,0.08219
"Ceramium.virgatum",313263,408280,0.76727
"Chaetomorpha.linum",129001,367933,0.35061
"Chaetomorpha.melagonium",379751,451731,0.84066
"Chara.aspera",11,95198,0.00012
"Chara.baltica",6941,105387,0.06586
"Chara.canescens",1517,91050,0.01666
"Chondrus.crispus",278776,291091,0.95769
"Chorda.filum",109517,216166,0.50663
"Chordaria.flagelliformis",121327,122032,0.99422
"Cladophora.rupestris",125909,369017,0.3412
"Cladophora.sericea",130105,219244,0.59343
"Coccotylus.Phyllophora",421193,1527232,0.27579
"Colaconema.daviesii",192215,192215,1
"Corallina.officinalis",142732,142732,1
"Crassula.aquatica",62,2339,0.02651
"Cruoria.pellita",324135,334990,0.9676
"Cystoclonium.purpureum",331906,351587,0.94402
"Dasya.baillouviana",168851,179188,0.94231
"Dasysiphonia.japonica",105563,105563,1
"Delesseria.sanguinea",416159,552811,0.75281
"Derbesia.marina",310505,310592,0.99972
"Desmarestia.aculeata",294388,295810,0.99519
"Desmarestia.viridis",331645,725880,0.45689
"Dictyosiphon.chordaria",41337,48190,0.85779
"Dictyosiphon.foeniculaceus",74708,302236,0.24718
"Dilsea.carnosa",106431,106431,1
"Dumontia.contorta",157962,228451,0.69145
"Ectocarpus.Pylaiella",68484,624947,0.10958
"Elachista.fucicola",157067,305507,0.51412
"Eleocharis.parvula",169,12587,0.01343
"Eleocharis.uniglumis",4350,36250,0.12
"Erythrodermis.traillii",126087,126087,1
"Erythrotrichia.carnea",149508,149508,1
"Eudesme.virescens",19053,258156,0.0738
"Fucus.serratus",166700,169344,0.98439
"Fucus.vesiculosus.radicans",28328,228799,0.12381
"Furcellaria.lumbricalis",194067,711480,0.27277
"Gaillona.rosea",2081,298698,0.00697
"Halidrys.siliquosa",77858,77860,0.99997
"Halosiphon.tomentosus",26386,28569,0.92359
"Heterosiphonia.plumosa",42075,42075,1
"Juncus.gerardii",2768,31222,0.08866
"Laminaria.digitata",279911,294250,0.95127
